"","Dt_Customer","TotalSpend","Income"
"1",2012-07-30,418,55158
"2",2012-07-31,939,52203
"3",2012-08-01,902.25,42844.75
"4",2012-08-02,584,45195
"5",2012-08-03,819.4,58556.2
"6",2012-08-04,748,66931.75
"7",2012-08-05,77,36778
"8",2012-08-06,148.333333333333,33425.3333333333
"9",2012-08-07,580.75,45646
"10",2012-08-08,860.714285714286,52136.2857142857
"11",2012-08-09,1734,70784.5
"12",2012-08-10,1538,68655
"13",2012-08-11,1355.33333333333,67459
"14",2012-08-13,1223,54599.5
"15",2012-08-14,252,41254
"16",2012-08-15,890,49269
"17",2012-08-16,726,46180.6666666667
"18",2012-08-17,583.75,45462
"19",2012-08-18,486.6,55101.8
"20",2012-08-19,232.5,36337.5
"21",2012-08-20,1085,56889.6666666667
"22",2012-08-21,871,49802.5
"23",2012-08-22,652.25,50071.5
"24",2012-08-23,1374,55951
"25",2012-08-24,930.5,60731
"26",2012-08-25,924,66218.6666666667
"27",2012-08-26,711,46941.6666666667
"28",2012-08-27,656.333333333333,42896.6666666667
"29",2012-08-28,889.5,46783
"30",2012-08-29,554.125,45087.125
"31",2012-08-30,597.5,44591.25
"32",2012-08-31,795.166666666667,45397
"33",2012-09-01,1078,94871
"34",2012-09-02,1106,63943
"35",2012-09-04,1003,52284
"36",2012-09-05,1364,67430
"37",2012-09-06,102,32351.75
"38",2012-09-07,587,48774.3333333333
"39",2012-09-08,621.833333333333,47626.3333333333
"40",2012-09-09,410.666666666667,36316
"41",2012-09-10,778.75,56341.75
"42",2012-09-11,1196.33333333333,59708.6666666667
"43",2012-09-12,884.909090909091,59792.8181818182
"44",2012-09-15,1122.5,66698
"45",2012-09-17,1279.66666666667,55445.6666666667
"46",2012-09-18,405.5,37224.5
"47",2012-09-19,25,42033
"48",2012-09-20,629,48144.5
"49",2012-09-21,1149.5,65639.75
"50",2012-09-22,930.333333333333,50693.6666666667
"51",2012-09-23,1550.66666666667,82935.6666666667
"52",2012-09-24,1442.5,66165
"53",2012-09-25,998,61715.5
"54",2012-09-26,1174.66666666667,69111.3333333333
"55",2012-09-27,836.5,65396.5
"56",2012-09-28,1459.25,71893
"57",2012-09-29,1699,71773.5
"58",2012-09-30,1727,70503
"59",2012-10-01,993.6,55136.8
"60",2012-10-02,103,9722
"61",2012-10-04,419.333333333333,48458.5
"62",2012-10-05,746.5,55943.6666666667
"63",2012-10-06,830,46011.5
"64",2012-10-07,656,60208
"65",2012-10-09,1021,61010
"66",2012-10-10,195,34319.2
"67",2012-10-11,1701,60896
"68",2012-10-12,909,54821.6
"69",2012-10-13,215.5,34487.6666666667
"70",2012-10-14,1360.4,68307.8
"71",2012-10-15,595.75,49375.5
"72",2012-10-16,839,58612.5
"73",2012-10-17,279.5,40491
"74",2012-10-18,435.4,46184.6
"75",2012-10-19,2077,92859
"76",2012-10-20,1087.5,75421.5
"77",2012-10-21,903,55250
"78",2012-10-22,253.333333333333,38501.6666666667
"79",2012-10-23,800.5,61085.5
"80",2012-10-24,1930,78427
"81",2012-10-25,576,51369
"82",2012-10-26,498,45502
"83",2012-10-27,900,64242.5
"84",2012-10-28,191.75,36941.75
"85",2012-10-29,690.666666666667,47773.7777777778
"86",2012-10-30,1241,81300
"87",2012-10-31,698.4,58626.4
"88",2012-11-01,661,48135.5
"89",2012-11-02,1206.5,82685.5
"90",2012-11-03,132.625,35558.5
"91",2012-11-04,1211,68316
"92",2012-11-05,1108.6,56037.8
"93",2012-11-06,1853,82347
"94",2012-11-07,869.6,60631.2
"95",2012-11-08,833,47916.6666666667
"96",2012-11-09,670.5,41871.5
"97",2012-11-10,871.166666666667,49904
"98",2012-11-11,949.333333333333,51620.6666666667
"99",2012-11-12,703.333333333333,43999
"100",2012-11-13,737.333333333333,45013.6666666667
"101",2012-11-14,1135,69508
"102",2012-11-16,1129,55952.5
"103",2012-11-17,786.4,51588.4
"104",2012-11-18,330,46734
"105",2012-11-20,380.5,43493
"106",2012-11-21,258.5,33505.5
"107",2012-11-22,754.666666666667,49512.3333333333
"108",2012-11-23,836.75,53799.25
"109",2012-11-24,1066.66666666667,62702.3333333333
"110",2012-11-25,1267.5,64481
"111",2012-11-26,863.5,54957.5
"112",2012-11-27,1250,72228
"113",2012-11-28,447.333333333333,39554
"114",2012-11-29,767,51705
"115",2012-11-30,766,59925
"116",2012-12-01,833.5,54458.5
"117",2012-12-02,820,56438
"118",2012-12-03,973.75,55013
"119",2012-12-04,49.5,22636.5
"120",2012-12-05,540.5,44984
"121",2012-12-06,584,46229
"122",2012-12-07,603.6,55009.4
"123",2012-12-08,137,6835
"124",2012-12-09,848.5,56502
"125",2012-12-10,254.5,46309.5
"126",2012-12-11,554,34700.3333333333
"127",2012-12-12,1014.33333333333,56005.3333333333
"128",2012-12-14,429,46344
"129",2012-12-15,729,79983.5
"130",2012-12-16,852,67023
"131",2012-12-17,47,20194
"132",2012-12-18,287.5,34160.5
"133",2012-12-19,584.75,58213.25
"134",2012-12-20,16,36807
"135",2012-12-21,1021,44953
"136",2012-12-22,1016,52061.6
"137",2012-12-23,990.5,61784
"138",2012-12-24,186.2,32912.8
"139",2012-12-25,190.666666666667,39101
"140",2012-12-26,21,34230
"141",2012-12-27,57,7500
"142",2012-12-28,168.5,26887.25
"143",2012-12-29,238,23083.5
"144",2012-12-30,447.8,43393.8
"145",2012-12-31,67,18222
"146",2013-01-01,190.25,31165.25
"147",2013-01-02,544.111111111111,52024.7777777778
"148",2013-01-03,39,32300
"149",2013-01-04,762,71405
"150",2013-01-05,774,53827.25
"151",2013-01-06,1361.5,34746.5
"152",2013-01-07,314.5,38221.5
"153",2013-01-08,507,49073.2
"154",2013-01-09,702.5,41263.5
"155",2013-01-10,760.857142857143,52282.2857142857
"156",2013-01-11,1649.6,68207.4
"157",2013-01-12,388.5,41030.875
"158",2013-01-13,574.5,47917.3333333333
"159",2013-01-14,43,28320
"160",2013-01-15,1284.5,65114
"161",2013-01-16,736.285714285714,48310.1428571429
"162",2013-01-17,847.333333333333,60291.6666666667
"163",2013-01-19,480.75,43033
"164",2013-01-20,664.4,49226.6
"165",2013-01-21,844.666666666667,64786
"166",2013-01-22,440,47623.5
"167",2013-01-23,595,56898.4
"168",2013-01-24,95,39858
"169",2013-01-25,796,45790
"170",2013-01-26,818,65677
"171",2013-01-27,455.5,32801.5
"172",2013-01-29,393.666666666667,44789
"173",2013-01-31,652,49575.5
"174",2013-02-01,632.666666666667,44964.3333333333
"175",2013-02-02,950,53391.5
"176",2013-02-03,206.5,40109.5
"177",2013-02-04,920.5,53491.5
"178",2013-02-06,814,62699.2
"179",2013-02-07,671.5,35912.5
"180",2013-02-08,874.5,40536
"181",2013-02-09,544.5,47834.5
"182",2013-02-10,809.666666666667,42321.6666666667
"183",2013-02-11,186.25,33974.25
"184",2013-02-12,310.8,46822
"185",2013-02-13,560.285714285714,41881
"186",2013-02-14,632.363636363636,51566.9090909091
"187",2013-02-15,712.666666666667,56832.3333333333
"188",2013-02-16,857.428571428571,44399.8571428571
"189",2013-02-17,821.666666666667,57284.3333333333
"190",2013-02-18,847,63401.2
"191",2013-02-19,749,49830
"192",2013-02-21,50.5,35466
"193",2013-02-22,1563.5,80650.5
"194",2013-02-23,68,45759
"195",2013-02-25,1036.66666666667,70218.6666666667
"196",2013-02-26,834,54192
"197",2013-02-27,789.333333333333,61264.3333333333
"198",2013-02-28,916,47570
"199",2013-03-01,655,57789.3333333333
"200",2013-03-02,1580,73926
"201",2013-03-04,1591.75,71294.75
"202",2013-03-05,751,49505
"203",2013-03-06,56.5,38196.5
"204",2013-03-07,385.5,44089.25
"205",2013-03-08,651,57989.3333333333
"206",2013-03-09,43,32871
"207",2013-03-10,863.4,55122.2
"208",2013-03-11,832,46567.5
"209",2013-03-12,657,51358.2
"210",2013-03-14,67,36082.5
"211",2013-03-15,153.5,42786.5
"212",2013-03-16,67.5,21313.5
"213",2013-03-17,769,50931.2
"214",2013-03-18,205.8,35122.4
"215",2013-03-19,535.6,46462.6
"216",2013-03-20,296.666666666667,32835.6666666667
"217",2013-03-21,52,28427
"218",2013-03-22,445.666666666667,38743
"219",2013-03-23,760,52749.3333333333
"220",2013-03-24,330,47478
"221",2013-03-25,244,27573
"222",2013-03-26,399.75,49895.5
"223",2013-03-27,1055.75,71062
"224",2013-03-28,838.2,59313.6
"225",2013-03-29,538.4,50318.4
"226",2013-03-30,1375,69147.5
"227",2013-03-31,719.8,55713.6
"228",2013-04-02,1009,70077
"229",2013-04-03,769.333333333333,60603
"230",2013-04-05,487,53536.375
"231",2013-04-06,1502,60348
"232",2013-04-07,434,40794
"233",2013-04-08,805.5,58398.75
"234",2013-04-09,69,41154
"235",2013-04-10,810.333333333333,50123.3333333333
"236",2013-04-11,233.666666666667,48839
"237",2013-04-12,734,59821
"238",2013-04-13,429.285714285714,41040.7142857143
"239",2013-04-14,2089,81169
"240",2013-04-15,390.25,52758
"241",2013-04-16,799.5,51212.5
"242",2013-04-17,626.5,43013
"243",2013-04-18,464.833333333333,44678.5
"244",2013-04-19,1385,86111
"245",2013-04-20,424.666666666667,44763.3333333333
"246",2013-04-21,1292.6,69954.4
"247",2013-04-22,331.833333333333,44436.3333333333
"248",2013-04-23,1099.66666666667,66564.6666666667
"249",2013-04-24,457,54018
"250",2013-04-25,696.5,55404
"251",2013-04-27,187.8,43516.2
"252",2013-04-28,700,67208.5
"253",2013-04-29,1461.66666666667,97690.3333333333
"254",2013-04-30,73,20981
"255",2013-05-01,1541.66666666667,84609
"256",2013-05-02,620,50389.2
"257",2013-05-03,904.666666666667,62149.3333333333
"258",2013-05-04,441.333333333333,43400.3333333333
"259",2013-05-05,1137.33333333333,72899
"260",2013-05-06,256,48196.6
"261",2013-05-07,718.333333333333,48936.6666666667
"262",2013-05-08,910,65206
"263",2013-05-09,586.666666666667,56161.3333333333
"264",2013-05-10,44,30665.5
"265",2013-05-11,587.125,52687.875
"266",2013-05-12,1509.25,82805.25
"267",2013-05-13,293,48721
"268",2013-05-14,596,58398
"269",2013-05-15,141.25,34208.5
"270",2013-05-16,20,45068
"271",2013-05-17,808.166666666667,59283.1666666667
"272",2013-05-19,479.5,42526
"273",2013-05-20,1125.5,62193.1666666667
"274",2013-05-21,37,37210
"275",2013-05-22,1239,66060.7142857143
"276",2013-05-23,982.333333333333,68594.6666666667
"277",2013-05-24,55,41728
"278",2013-05-25,216,39665
"279",2013-05-26,698.5,65345
"280",2013-05-27,257,53359
"281",2013-05-28,505.5,56769
"282",2013-05-29,662,60579
"283",2013-05-30,269,45953
"284",2013-06-01,986.5,65663.5
"285",2013-06-02,338.5,362470.5
"286",2013-06-04,526,63225
"287",2013-06-06,163,35798
"288",2013-06-08,664.6,57673.2
"289",2013-06-09,48,24027
"290",2013-06-10,486.25,59915
"291",2013-06-11,503.5,62793
"292",2013-06-12,753.666666666667,67559.3333333333
"293",2013-06-13,622.6,52877.8
"294",2013-06-14,38,30400.3333333333
"295",2013-06-16,872,58943
"296",2013-06-18,269,41045.5
"297",2013-06-19,271.75,39990.75
"298",2013-06-20,587,52406.8
"299",2013-06-21,91.5,42939
"300",2013-06-22,179.666666666667,42843
"301",2013-06-24,544,49985.3333333333
"302",2013-06-25,558.5,64459.5
"303",2013-06-26,735,60093
"304",2013-06-27,165,32706.25
"305",2013-06-28,723.666666666667,56253.3333333333
"306",2013-06-29,984.666666666667,63718.3333333333
"307",2013-06-30,223.333333333333,30313.3333333333
"308",2013-07-01,24.3333333333333,33121.6666666667
"309",2013-07-02,709.666666666667,47603.3333333333
"310",2013-07-03,828.4,61672.8
"311",2013-07-04,513.333333333333,43729
"312",2013-07-05,419.2,46256.2
"313",2013-07-06,681.75,53567.5
"314",2013-07-07,541.333333333333,43907.3333333333
"315",2013-07-08,144.75,39818.25
"316",2013-07-09,878.333333333333,61136.3333333333
"317",2013-07-12,95.25,36244.25
"318",2013-07-13,110.666666666667,28695.6666666667
"319",2013-07-14,477.5,47334.25
"320",2013-07-15,824.5,57723
"321",2013-07-16,390.333333333333,44801.3333333333
"322",2013-07-17,284,51098
"323",2013-07-18,267.666666666667,41672.6666666667
"324",2013-07-19,876.6,60123.8
"325",2013-07-20,725,56067
"326",2013-07-21,619,49602.8
"327",2013-07-22,613,42613
"328",2013-07-23,301,46994.6666666667
"329",2013-07-24,565.5,48035
"330",2013-07-25,806.333333333333,55278.6666666667
"331",2013-07-26,249.5,53880
"332",2013-07-27,1209.66666666667,74751.6666666667
"333",2013-07-28,38,36921
"334",2013-07-29,777.8,60550.6
"335",2013-07-30,241.8,36417.6
"336",2013-07-31,26,22804
"337",2013-08-01,257,49595.6
"338",2013-08-02,420.75,45851.75
"339",2013-08-03,64,15315
"340",2013-08-04,167,39763
"341",2013-08-05,194.25,34707
"342",2013-08-06,685.666666666667,51470.3333333333
"343",2013-08-07,824.285714285714,62830.2857142857
"344",2013-08-08,143.5,39655
"345",2013-08-09,560.25,52947
"346",2013-08-10,13,25176
"347",2013-08-12,1217,74290
"348",2013-08-13,936,52845
"349",2013-08-14,279,41551
"350",2013-08-15,676.6,57435.6
"351",2013-08-16,946.666666666667,57827
"352",2013-08-17,726.75,51260.75
"353",2013-08-18,235,46463
"354",2013-08-19,894.333333333333,59263
"355",2013-08-20,444.8,47743.9
"356",2013-08-21,455.25,55301.25
"357",2013-08-22,76,31837
"358",2013-08-24,1734,74485
"359",2013-08-25,788.333333333333,59106.6666666667
"360",2013-08-26,226.333333333333,39339.6666666667
"361",2013-08-27,1536,69969
"362",2013-08-28,850.4,61714
"363",2013-08-29,34,78620.3333333333
"364",2013-08-30,56.3333333333333,33847
"365",2013-08-31,660,56255.25
"366",2013-09-01,140.333333333333,39862
"367",2013-09-02,80.5,27054
"368",2013-09-04,24,22918
"369",2013-09-05,463.75,42365.5
"370",2013-09-06,394.333333333333,45190.6666666667
"371",2013-09-07,177.666666666667,34260.6666666667
"372",2013-09-09,548.8,57091.8
"373",2013-09-10,651.25,65130.75
"374",2013-09-11,347.166666666667,50481.8333333333
"375",2013-09-12,808.5,60342.3333333333
"376",2013-09-13,177,38593
"377",2013-09-14,611,61794
"378",2013-09-15,31.75,30334.25
"379",2013-09-16,305.4,51020
"380",2013-09-17,831.2,70674.4
"381",2013-09-18,662.6,58779.6
"382",2013-09-19,946.666666666667,52012.6666666667
"383",2013-09-20,206.666666666667,37428.3333333333
"384",2013-09-21,22,36408
"385",2013-09-22,392,46408
"386",2013-09-23,951.5,51157.5
"387",2013-09-24,98.5,34290.5
"388",2013-09-25,117,33383.6666666667
"389",2013-09-26,656.333333333333,50569
"390",2013-09-27,982.333333333333,62566.3333333333
"391",2013-09-28,897.333333333333,61651
"392",2013-09-30,647.2,64239.2
"393",2013-10-01,931.666666666667,60824.6666666667
"394",2013-10-02,418.571428571429,40992.8571428571
"395",2013-10-03,215.8,46264
"396",2013-10-04,607.428571428571,52729
"397",2013-10-05,620.5,29931
"398",2013-10-06,1235.5,67319
"399",2013-10-08,1040.83333333333,60116
"400",2013-10-09,1188.33333333333,75827
"401",2013-10-10,16,31668
"402",2013-10-11,303.75,53080
"403",2013-10-12,349.833333333333,47796.6666666667
"404",2013-10-13,719.333333333333,61028.3333333333
"405",2013-10-14,852.25,59626.25
"406",2013-10-15,324.5,43992
"407",2013-10-16,162.5,34795.1666666667
"408",2013-10-17,621,51647.25
"409",2013-10-19,39,38259.5
"410",2013-10-20,213.5,48427.25
"411",2013-10-21,383.833333333333,43519
"412",2013-10-22,451,47280.3333333333
"413",2013-10-23,328,54730.5
"414",2013-10-24,378.25,44876.75
"415",2013-10-25,906.857142857143,59217.5714285714
"416",2013-10-26,267,53187
"417",2013-10-27,369,45113.6666666667
"418",2013-10-28,614.5,43760.125
"419",2013-10-29,775.333333333333,47507
"420",2013-11-01,133,43018
"421",2013-11-02,634.2,58904.6
"422",2013-11-03,349.5,43692
"423",2013-11-04,324,41809.6666666667
"424",2013-11-06,622,61084.6
"425",2013-11-07,488.625,50179.5
"426",2013-11-08,574,59247
"427",2013-11-09,1493,75437
"428",2013-11-10,932.666666666667,67453
"429",2013-11-12,228,37696.5
"430",2013-11-13,606.666666666667,54909
"431",2013-11-14,538.333333333333,44093
"432",2013-11-17,863.25,60415
"433",2013-11-18,421,62551
"434",2013-11-19,1105.66666666667,60110
"435",2013-11-20,75.3333333333333,33354.6666666667
"436",2013-11-21,1198.5,76402
"437",2013-11-22,1135.66666666667,74882.6666666667
"438",2013-11-25,1002,65125.6666666667
"439",2013-11-26,821,67562.3333333333
"440",2013-11-27,986.5,66738.5
"441",2013-11-28,1272,72459.5
"442",2013-11-29,151.75,39503.5
"443",2013-11-30,223,43020
"444",2013-12-01,498.4,61166.4
"445",2013-12-02,649,64603
"446",2013-12-03,134,47850
"447",2013-12-04,366.25,48980.75
"448",2013-12-05,1098,67177.5
"449",2013-12-06,563,55218.5
"450",2013-12-07,424.2,45014.6
"451",2013-12-08,35,35170.5
"452",2013-12-09,348.6,42742.2
"453",2013-12-10,29,24594
"454",2013-12-11,319.25,49626
"455",2013-12-12,758.666666666667,47997.6666666667
"456",2013-12-13,404,58577
"457",2013-12-14,1025.5,54801
"458",2013-12-15,34,30510
"459",2013-12-16,984.75,63945.25
"460",2013-12-17,558.25,60478
"461",2013-12-18,43,51124
"462",2013-12-19,1138.5,79155
"463",2013-12-20,448.666666666667,43158.6666666667
"464",2013-12-21,399,45217
"465",2013-12-22,428,55707
"466",2013-12-23,563.25,53273
"467",2013-12-24,610,50913.3333333333
"468",2013-12-25,733.5,59762.25
"469",2013-12-26,358,40820.75
"470",2013-12-27,387,45435.5
"471",2013-12-28,33,36975
"472",2013-12-29,681.2,52275.8
"473",2013-12-30,839.333333333333,56440
"474",2013-12-31,868.333333333333,67402.6666666667
"475",2014-01-02,550.666666666667,67552
"476",2014-01-03,616,53061.6666666667
"477",2014-01-04,116,54583.5
"478",2014-01-05,132.5,36052.5
"479",2014-01-06,995,62450
"480",2014-01-07,921.666666666667,61353.6666666667
"481",2014-01-09,679,57642
"482",2014-01-10,610,54816.25
"483",2014-01-11,392.8,59320
"484",2014-01-13,2009,81205
"485",2014-01-14,1096,70899.5
"486",2014-01-15,936.25,58475.5
"487",2014-01-17,453.25,48494.25
"488",2014-01-18,56.6666666666667,27736.3333333333
"489",2014-01-19,459,57793.3333333333
"490",2014-01-21,614.6,53267.6
"491",2014-01-22,603,55382.6
"492",2014-01-23,627.8,53543.6
"493",2014-01-24,1200.33333333333,72360.6666666667
"494",2014-01-25,750,63918.2
"495",2014-01-26,422.428571428571,40129.8571428571
"496",2014-01-27,136,51837.75
"497",2014-01-28,142.75,32705
"498",2014-01-29,1215,63564
"499",2014-01-30,181.5,42881
"500",2014-01-31,656,65695
"501",2014-02-01,61,37235
"502",2014-02-02,662.4,57226.2
"503",2014-02-03,926,83715
"504",2014-02-04,231,61905
"505",2014-02-05,956,66195.6666666667
"506",2014-02-06,1209.5,74795
"507",2014-02-07,200.571428571429,57874.8571428571
"508",2014-02-08,13,41145
"509",2014-02-09,33,47825.6666666667
"510",2014-02-10,427.6,49709.2
"511",2014-02-11,529,51960
"512",2014-02-12,1546,72339.6666666667
"513",2014-02-13,1281.5,60900.5
"514",2014-02-14,1378,80134
"515",2014-02-15,308.2,37618
"516",2014-02-16,197.75,46710
"517",2014-02-17,867.2,63351
"518",2014-02-18,287.333333333333,43579.6666666667
"519",2014-02-19,1500,78348.5
"520",2014-02-22,54,19444
"521",2014-02-23,134,42040
"522",2014-02-24,392.4,41581.6
"523",2014-02-25,504.2,57136.2
"524",2014-02-26,58.5,29891
"525",2014-02-27,49.5,38876.5
"526",2014-02-28,609.5,50382.5
"527",2014-03-01,691.666666666667,64769.7777777778
"528",2014-03-03,679.666666666667,59028.3333333333
"529",2014-03-04,419.666666666667,56197.6666666667
"530",2014-03-05,1140,73475
"531",2014-03-06,312.5,50464.5
"532",2014-03-07,280.5,46495.5
"533",2014-03-08,163,43134.8
"534",2014-03-09,680.5,65797.5
"535",2014-03-10,828.4,62371.4
"536",2014-03-11,153.5,40302.5
"537",2014-03-12,588.4,60068.8
"538",2014-03-13,49,5648
"539",2014-03-16,53.5,30625
"540",2014-03-17,787.571428571429,53093
"541",2014-03-18,327.6,58062.8
"542",2014-03-19,440.333333333333,52672.3333333333
"543",2014-03-20,313,49096
"544",2014-03-21,1070,65774.3333333333
"545",2014-03-22,636,62187
"546",2014-03-23,156,45271.4444444444
"547",2014-03-24,62,36144.75
"548",2014-03-25,39.6666666666667,37008.3333333333
"549",2014-03-26,23,34824
"550",2014-03-27,102,22123
"551",2014-03-28,72,31928
"552",2014-03-29,304.666666666667,47019.1666666667
"553",2014-03-30,53.1428571428571,35104.4285714286
"554",2014-03-31,952.4,66604.6
"555",2014-04-01,242.333333333333,40757.6666666667
"556",2014-04-02,1686,82571
"557",2014-04-03,661,62707.3333333333
"558",2014-04-04,150.5,47234.5
"559",2014-04-05,815.111111111111,68372.7777777778
"560",2014-04-06,180.666666666667,42278.6666666667
"561",2014-04-07,1169.5,65093
"562",2014-04-08,602,50553
"563",2014-04-09,1213.5,81770
"564",2014-04-10,63,36781
"565",2014-04-11,283.5,52708.5
"566",2014-04-12,62,48918
"567",2014-04-13,154,43776.1666666667
"568",2014-04-14,371.5,56952.5
"569",2014-04-15,841,75315
"570",2014-04-16,51.25,32763.75
"571",2014-04-17,83.5,49784
"572",2014-04-18,76.6,31405.2
"573",2014-04-19,222.5,54525
"574",2014-04-20,549.75,63208.25
"575",2014-04-21,128.25,41235.25
"576",2014-04-22,30,35684
"577",2014-04-23,211,43840
"578",2014-04-24,607.333333333333,68874.6666666667
"579",2014-04-25,562,54616.5
"580",2014-04-26,133,39190
"581",2014-04-27,1638,79529
"582",2014-04-28,1012.25,65510
"583",2014-04-29,927.25,65330.75
"584",2014-04-30,232.75,40869.5
"585",2014-05-01,847.5,60791
"586",2014-05-02,997.714285714286,71385.5714285714
"587",2014-05-03,576.5,60309
"588",2014-05-04,589.75,48364.75
"589",2014-05-05,222,46390
"590",2014-05-06,48,37401
"591",2014-05-07,428.6,61181.6
"592",2014-05-08,305.5,47111.75
"593",2014-05-09,31,41644
"594",2014-05-10,201,40067.75
"595",2014-05-11,242.25,38942.625
"596",2014-05-12,677.272727272727,61667.3636363636
"597",2014-05-13,811,71022.6666666667
"598",2014-05-15,20,29791
"599",2014-05-16,684,56216
"600",2014-05-17,247.5,57022.5
"601",2014-05-18,431,37363
"602",2014-05-19,44.8,34747.6
"603",2014-05-22,379.4,43497.3
"604",2014-05-23,755.875,65269.125
"605",2014-05-24,519.8,54001.8
"606",2014-05-25,120.666666666667,38694.6666666667
"607",2014-05-26,547,55094.6666666667
"608",2014-05-28,210.5,58197.25
"609",2014-05-29,873.833333333333,57133.6666666667
"610",2014-05-30,272,65808
"611",2014-05-31,519,69825
"612",2014-06-02,469.5,58365
"613",2014-06-03,533,66108
"614",2014-06-04,10,23536
"615",2014-06-05,13,26314
"616",2014-06-06,902,63404
"617",2014-06-07,646.333333333333,59144
"618",2014-06-08,165.5,48572.25
"619",2014-06-09,444.333333333333,59501
"620",2014-06-10,310.666666666667,58040.6666666667
"621",2014-06-11,45,21675
"622",2014-06-12,16,33279
"623",2014-06-13,963,65488
"624",2014-06-14,904,69283
"625",2014-06-15,168,36543
"626",2014-06-16,528.75,56160.75
"627",2014-06-17,825.666666666667,57343.3333333333
"628",2014-06-18,443,51450
"629",2014-06-19,59.5,45255
"630",2014-06-20,441,67003.5
"631",2014-06-21,755,67545
"632",2014-06-22,549.4,51413
"633",2014-06-23,900.5,38044.5
"634",2014-06-24,40.5,35924.5
"635",2014-06-25,614.4,55684.6
"636",2014-06-26,776.25,61531.75
"637",2014-06-27,511.666666666667,58526.6666666667
"638",2014-06-28,888.333333333333,76698.6666666667
"639",2014-06-29,290,52241
